statistic_yyy,site_id,people_total
107,新北市板橋區,554742
107,新北市三重區,385826
107,新北市中和區,412486
107,新北市永和區,221098
107,新北市新莊區,417754
107,新北市新店區,302231
107,新北市樹林區,183946
107,新北市鶯歌區,86361
107,新北市三峽區,115820
107,新北市淡水區,173502
107,新北市汐止區,200535
107,新北市瑞芳區,39982
107,新北市土城區,236901
107,新北市蘆洲區,201332
107,新北市五股區,86329
107,新北市泰山區,78708
107,新北市林口區,110081
107,新北市深坑區,23634
107,新北市石碇區,7731
107,新北市坪林區,6612
107,新北市三芝區,22978
107,新北市石門區,12115
107,新北市八里區,38906
107,新北市平溪區,4666
107,新北市雙溪區,8860
107,新北市貢寮區,12301
107,新北市金山區,21774
107,新北市萬里區,22068
107,新北市烏來區,6438
107,臺北市松山區,205702
107,臺北市信義區,223406
107,臺北市大安區,308843
107,臺北市中山區,229456
107,臺北市中正區,159000
107,臺北市大同區,127625
107,臺北市萬華區,189603
107,臺北市文山區,273762
107,臺北市南港區,121670
107,臺北市內湖區,287429
107,臺北市士林區,286544
107,臺北市北投區,255532
107,桃園市桃園區,447302
107,桃園市中壢區,412063
107,桃園市大溪區,94885
107,桃園市楊梅區,170380
107,桃園市蘆竹區,164384
107,桃園市大園區,90888
107,桃園市龜山區,160591
107,桃園市八德區,202198
107,桃園市龍潭區,123175
107,桃園市平鎮區,226412
107,桃園市新屋區,49210
107,桃園市觀音區,67358
107,桃園市復興區,12026
107,臺中市中區,18514
107,臺中市東區,76175
107,臺中市南區,125874
107,臺中市西區,115698
107,臺中市北區,147557
107,臺中市西屯區,228630
107,臺中市南屯區,170618
107,臺中市北屯區,279297
107,臺中市豐原區,167025
107,臺中市東勢區,50256
107,臺中市大甲區,77625
107,臺中市清水區,86862
107,臺中市沙鹿區,94079
107,臺中市梧棲區,58218
107,臺中市后里區,54775
107,臺中市神岡區,65711
107,臺中市潭子區,108952
107,臺中市大雅區,95815
107,臺中市新社區,24576
107,臺中市石岡區,14956
107,臺中市外埔區,32230
107,臺中市大安區,19267
107,臺中市烏日區,75372
107,臺中市大肚區,57324
107,臺中市龍井區,77998
107,臺中市霧峰區,65619
107,臺中市太平區,191752
107,臺中市大里區,212104
107,臺中市和平區,11015
107,臺南市新營區,77617
107,臺南市鹽水區,25395
107,臺南市白河區,28105
107,臺南市柳營區,21205
107,臺南市後壁區,23346
107,臺南市東山區,20788
107,臺南市麻豆區,44260
107,臺南市下營區,23916
107,臺南市六甲區,22148
107,臺南市官田區,21314
107,臺南市大內區,9605
107,臺南市佳里區,59083
107,臺南市學甲區,25665
107,臺南市西港區,24690
107,臺南市七股區,22732
107,臺南市將軍區,19664
107,臺南市北門區,11051
107,臺南市新化區,43456
107,臺南市善化區,48968
107,臺南市新市區,36898
107,臺南市安定區,30483
107,臺南市山上區,7317
107,臺南市玉井區,13997
107,臺南市楠西區,9537
107,臺南市南化區,8724
107,臺南市左鎮區,4781
107,臺南市仁德區,75878
107,臺南市歸仁區,68403
107,臺南市關廟區,34353
107,臺南市龍崎區,3995
107,臺南市永康區,234891
107,臺南市東區,186250
107,臺南市南區,124824
107,臺南市北區,132112
107,臺南市安南區,193438
107,臺南市安平區,66775
107,臺南市中西區,78167
107,高雄市鹽埕區,24059
107,高雄市鼓山區,140133
107,高雄市左營區,196872
107,高雄市楠梓區,185687
107,高雄市三民區,340913
107,高雄市新興區,51032
107,高雄市前金區,26831
107,高雄市苓雅區,169648
107,高雄市前鎮區,188340
107,高雄市旗津區,28506
107,高雄市小港區,157742
107,高雄市鳳山區,359519
107,高雄市林園區,69870
107,高雄市大寮區,112421
107,高雄市大樹區,42390
107,高雄市大社區,34604
107,高雄市仁武區,87694
107,高雄市鳥松區,44469
107,高雄市岡山區,97103
107,高雄市橋頭區,37650
107,高雄市燕巢區,29820
107,高雄市田寮區,7159
107,高雄市阿蓮區,28658
107,高雄市路竹區,52538
107,高雄市湖內區,29794
107,高雄市茄萣區,30089
107,高雄市永安區,13909
107,高雄市彌陀區,19252
107,高雄市梓官區,35940
107,高雄市旗山區,36652
107,高雄市美濃區,39589
107,高雄市六龜區,12939
107,高雄市甲仙區,6026
107,高雄市杉林區,11795
