汽車竊盜概況,發生數,破獲數,類別
107年 1月/ 新北市 ,25,53,汽車竊盜
107年 1月/ 臺北市 ,12,11,汽車竊盜
107年 1月/ 桃園市 ,73,69,汽車竊盜
107年 1月/ 臺中市 ,12,13,汽車竊盜
107年 1月/ 臺南市 ,11,3,汽車竊盜
107年 1月/ 高雄市 ,22,17,汽車竊盜
107年 1月/ 宜蘭縣 ,6,2,汽車竊盜
107年 1月/ 新竹縣 ,7,12,汽車竊盜
107年 1月/ 苗栗縣 ,0,1,汽車竊盜
107年 1月/ 彰化縣 ,9,8,汽車竊盜
107年 1月/ 南投縣 ,9,7,汽車竊盜
107年 1月/ 雲林縣 ,7,6,汽車竊盜
107年 1月/ 嘉義縣 ,8,7,汽車竊盜
107年 1月/ 屏東縣 ,8,8,汽車竊盜
107年 1月/ 臺東縣 ,0,0,汽車竊盜
107年 1月/ 花蓮縣 ,3,5,汽車竊盜
107年 1月/ 澎湖縣 ,0,0,汽車竊盜
107年 1月/ 基隆市 ,1,0,汽車竊盜
107年 1月/ 新竹市 ,0,0,汽車竊盜
107年 1月/ 嘉義市 ,6,3,汽車竊盜
107年 1月/ 金門縣 ,2,2,汽車竊盜
107年 1月/ 連江縣 ,0,0,汽車竊盜
107年 2月/ 新北市 ,18,30,汽車竊盜
107年 2月/ 臺北市 ,7,7,汽車竊盜
107年 2月/ 桃園市 ,44,29,汽車竊盜
107年 2月/ 臺中市 ,13,14,汽車竊盜
107年 2月/ 臺南市 ,8,8,汽車竊盜
107年 2月/ 高雄市 ,26,20,汽車竊盜
107年 2月/ 宜蘭縣 ,5,7,汽車竊盜
107年 2月/ 新竹縣 ,18,11,汽車竊盜
107年 2月/ 苗栗縣 ,11,10,汽車竊盜
107年 2月/ 彰化縣 ,8,6,汽車竊盜
107年 2月/ 南投縣 ,4,4,汽車竊盜
107年 2月/ 雲林縣 ,14,14,汽車竊盜
107年 2月/ 嘉義縣 ,12,11,汽車竊盜
107年 2月/ 屏東縣 ,5,7,汽車竊盜
107年 2月/ 臺東縣 ,0,0,汽車竊盜
107年 2月/ 花蓮縣 ,1,0,汽車竊盜
107年 2月/ 澎湖縣 ,0,0,汽車竊盜
107年 2月/ 基隆市 ,0,0,汽車竊盜
107年 2月/ 新竹市 ,2,1,汽車竊盜
107年 2月/ 嘉義市 ,2,2,汽車竊盜
107年 2月/ 金門縣 ,0,0,汽車竊盜
107年 2月/ 連江縣 ,0,0,汽車竊盜
107年 3月/ 新北市 ,30,41,汽車竊盜
107年 3月/ 臺北市 ,11,8,汽車竊盜
107年 3月/ 桃園市 ,45,48,汽車竊盜
107年 3月/ 臺中市 ,9,13,汽車竊盜
107年 3月/ 臺南市 ,7,8,汽車竊盜
107年 3月/ 高雄市 ,24,29,汽車竊盜
107年 3月/ 宜蘭縣 ,4,4,汽車竊盜
107年 3月/ 新竹縣 ,14,16,汽車竊盜
107年 3月/ 苗栗縣 ,6,6,汽車竊盜
107年 3月/ 彰化縣 ,7,11,汽車竊盜
107年 3月/ 南投縣 ,9,7,汽車竊盜
107年 3月/ 雲林縣 ,4,6,汽車竊盜
107年 3月/ 嘉義縣 ,7,8,汽車竊盜
107年 3月/ 屏東縣 ,8,6,汽車竊盜
107年 3月/ 臺東縣 ,0,0,汽車竊盜
107年 3月/ 花蓮縣 ,0,0,汽車竊盜
107年 3月/ 澎湖縣 ,1,1,汽車竊盜
107年 3月/ 基隆市 ,1,2,汽車竊盜
107年 3月/ 新竹市 ,6,1,汽車竊盜
107年 3月/ 嘉義市 ,3,1,汽車竊盜
107年 3月/ 金門縣 ,0,0,汽車竊盜
107年 3月/ 連江縣 ,0,0,汽車竊盜
107年 4月/ 新北市 ,23,38,汽車竊盜
107年 4月/ 臺北市 ,7,8,汽車竊盜
107年 4月/ 桃園市 ,33,33,汽車竊盜
107年 4月/ 臺中市 ,11,12,汽車竊盜
107年 4月/ 臺南市 ,8,7,汽車竊盜
107年 4月/ 高雄市 ,13,8,汽車竊盜
107年 4月/ 宜蘭縣 ,7,8,汽車竊盜
107年 4月/ 新竹縣 ,14,9,汽車竊盜
107年 4月/ 苗栗縣 ,5,9,汽車竊盜
107年 4月/ 彰化縣 ,8,4,汽車竊盜
107年 4月/ 南投縣 ,10,7,汽車竊盜
