機車竊盜概況,發生數,破獲數,類別
107年 1月/ 新北市 ,164,180,機車竊盜
107年 1月/ 臺北市 ,61,64,機車竊盜
107年 1月/ 桃園市 ,166,154,機車竊盜
107年 1月/ 臺中市 ,63,77,機車竊盜
107年 1月/ 臺南市 ,30,34,機車竊盜
107年 1月/ 高雄市 ,108,120,機車竊盜
107年 1月/ 宜蘭縣 ,7,15,機車竊盜
107年 1月/ 新竹縣 ,22,27,機車竊盜
107年 1月/ 苗栗縣 ,10,12,機車竊盜
107年 1月/ 彰化縣 ,11,16,機車竊盜
107年 1月/ 南投縣 ,11,13,機車竊盜
107年 1月/ 雲林縣 ,14,16,機車竊盜
107年 1月/ 嘉義縣 ,14,11,機車竊盜
107年 1月/ 屏東縣 ,22,26,機車竊盜
107年 1月/ 臺東縣 ,9,10,機車竊盜
107年 1月/ 花蓮縣 ,5,7,機車竊盜
107年 1月/ 澎湖縣 ,0,0,機車竊盜
107年 1月/ 基隆市 ,13,14,機車竊盜
107年 1月/ 新竹市 ,33,23,機車竊盜
107年 1月/ 嘉義市 ,6,10,機車竊盜
107年 1月/ 金門縣 ,0,0,機車竊盜
107年 1月/ 連江縣 ,0,0,機車竊盜
107年 2月/ 新北市 ,151,133,機車竊盜
107年 2月/ 臺北市 ,54,45,機車竊盜
107年 2月/ 桃園市 ,136,168,機車竊盜
107年 2月/ 臺中市 ,46,55,機車竊盜
107年 2月/ 臺南市 ,31,37,機車竊盜
107年 2月/ 高雄市 ,81,86,機車竊盜
107年 2月/ 宜蘭縣 ,10,5,機車竊盜
107年 2月/ 新竹縣 ,25,15,機車竊盜
107年 2月/ 苗栗縣 ,7,11,機車竊盜
107年 2月/ 彰化縣 ,16,19,機車竊盜
107年 2月/ 南投縣 ,26,16,機車竊盜
107年 2月/ 雲林縣 ,12,17,機車竊盜
107年 2月/ 嘉義縣 ,7,7,機車竊盜
107年 2月/ 屏東縣 ,19,16,機車竊盜
107年 2月/ 臺東縣 ,10,4,機車竊盜
107年 2月/ 花蓮縣 ,5,3,機車竊盜
107年 2月/ 澎湖縣 ,1,2,機車竊盜
107年 2月/ 基隆市 ,13,12,機車竊盜
107年 2月/ 新竹市 ,28,25,機車竊盜
107年 2月/ 嘉義市 ,4,4,機車竊盜
107年 2月/ 金門縣 ,0,0,機車竊盜
107年 2月/ 連江縣 ,0,0,機車竊盜
107年 3月/ 新北市 ,175,199,機車竊盜
107年 3月/ 臺北市 ,61,73,機車竊盜
107年 3月/ 桃園市 ,151,201,機車竊盜
107年 3月/ 臺中市 ,67,71,機車竊盜
107年 3月/ 臺南市 ,39,39,機車竊盜
107年 3月/ 高雄市 ,67,98,機車竊盜
107年 3月/ 宜蘭縣 ,15,22,機車竊盜
107年 3月/ 新竹縣 ,35,26,機車竊盜
107年 3月/ 苗栗縣 ,4,5,機車竊盜
107年 3月/ 彰化縣 ,15,22,機車竊盜
107年 3月/ 南投縣 ,17,18,機車竊盜
107年 3月/ 雲林縣 ,14,13,機車竊盜
107年 3月/ 嘉義縣 ,5,13,機車竊盜
107年 3月/ 屏東縣 ,11,25,機車竊盜
107年 3月/ 臺東縣 ,10,12,機車竊盜
107年 3月/ 花蓮縣 ,6,5,機車竊盜
107年 3月/ 澎湖縣 ,1,1,機車竊盜
107年 3月/ 基隆市 ,14,19,機車竊盜
107年 3月/ 新竹市 ,28,27,機車竊盜
107年 3月/ 嘉義市 ,8,4,機車竊盜
107年 3月/ 金門縣 ,1,0,機車竊盜
107年 3月/ 連江縣 ,0,0,機車竊盜
107年 4月/ 新北市 ,166,183,機車竊盜
107年 4月/ 臺北市 ,61,59,機車竊盜
107年 4月/ 桃園市 ,128,179,機車竊盜
107年 4月/ 臺中市 ,63,59,機車竊盜
107年 4月/ 臺南市 ,35,39,機車竊盜
107年 4月/ 高雄市 ,82,98,機車竊盜
107年 4月/ 宜蘭縣 ,11,7,機車竊盜
107年 4月/ 新竹縣 ,32,34,機車竊盜
107年 4月/ 苗栗縣 ,13,15,機車竊盜
107年 4月/ 彰化縣 ,14,11,機車竊盜
107年 4月/ 南投縣 ,20,26,機車竊盜
107年 4月/ 雲林縣 ,12,19,機車竊盜
107年 4月/ 嘉義縣 ,5,4,機車竊盜
107年 4月/ 屏東縣 ,20,17,機車竊盜
107年 4月/ 臺東縣 ,3,6,機車竊盜
107年 4月/ 花蓮縣 ,5,4,機車竊盜
107年 4月/ 澎湖縣 ,0,1,機車竊盜
107年 4月/ 基隆市 ,14,10,機車竊盜
107年 4月/ 新竹市 ,37,21,機車竊盜
107年 4月/ 嘉義市 ,7,2,機車竊盜
